time_s,dist,error,velocity
9.609758653000002,2.1691901683807373,1.1691901683807373,0.15
9.708235165000001,2.1691901683807373,1.1691901683807373,0.15
9.80813711,2.130971670150757,1.1309716701507568,0.15
9.909738811,2.130971670150757,1.1309716701507568,0.15
10.008164650000001,2.130971670150757,1.1309716701507568,0.15
10.108139131000001,2.101970672607422,1.1019706726074219,0.15
10.208368983000002,2.101970672607422,1.1019706726074219,0.15
10.309758262,2.101970672607422,1.1019706726074219,0.15
10.408149157,2.101970672607422,1.1019706726074219,0.15
10.508207363,2.0818448066711426,1.0818448066711426,0.15
10.608739454,2.0818448066711426,1.0818448066711426,0.15
10.708232881,2.0818448066711426,1.0818448066711426,0.15
10.808212116,2.044959306716919,1.044959306716919,0.15
10.908163428,2.044959306716919,1.044959306716919,0.15
11.0081775,2.044959306716919,1.044959306716919,0.15
11.108733056,2.0062949657440186,1.0062949657440186,0.15
11.208329341,2.0062949657440186,1.0062949657440186,0.15
11.30876651,2.0062949657440186,1.0062949657440186,0.15
11.408159452,1.979357123374939,0.979357123374939,0.15
11.508138636,1.979357123374939,0.979357123374939,0.15
11.608145382,1.979357123374939,0.979357123374939,0.15
11.709731775,1.9607794284820557,0.9607794284820557,0.15
11.808151138,1.9607794284820557,0.9607794284820557,0.15
11.908469098,1.9607794284820557,0.9607794284820557,0.15
12.008730029999999,1.934004783630371,0.9340047836303711,0.15
12.108162694999999,1.934004783630371,0.9340047836303711,0.15
12.209789984999999,1.934004783630371,0.9340047836303711,0.15
12.309271330999998,1.934004783630371,0.9340047836303711,0.15
12.408781130999998,1.8977504968643188,0.8977504968643188,0.15
12.508150552999998,1.8977504968643188,0.8977504968643188,0.15
12.608139169999998,1.8977504968643188,0.8977504968643188,0.15
12.708770563999998,1.8646184206008911,0.8646184206008911,0.15
12.808264230999999,1.8646184206008911,0.8646184206008911,0.15
12.908168966999998,1.8646184206008911,0.8646184206008911,0.15
13.008159931999998,1.8646184206008911,0.8646184206008911,0.15
13.109105339999997,1.8287978172302246,0.8287978172302246,0.15
13.208169898999998,1.8287978172302246,0.8287978172302246,0.15
13.308485005999998,1.8287978172302246,0.8287978172302246,0.15
13.408769825999999,1.8046108484268188,0.8046108484268188,0.15
13.508734654999998,1.8046108484268188,0.8046108484268188,0.15
13.608139531999997,1.8046108484268188,0.8046108484268188,0.15
13.708134298999997,1.7733323574066162,0.7733323574066162,0.15
13.808136272999997,1.7733323574066162,0.7733323574066162,0.15
13.908198021999997,1.7733323574066162,0.7733323574066162,0.15
14.008733287999997,1.7733323574066162,0.7733323574066162,0.15
14.108771538999997,1.7443104982376099,0.7443104982376099,0.15
14.209193694999998,1.7443104982376099,0.7443104982376099,0.15
14.308166411999999,1.7443104982376099,0.7443104982376099,0.15
14.408142433999998,1.7074865102767944,0.7074865102767944,0.15
14.508152352999998,1.7074865102767944,0.7074865102767944,0.15
14.608136872999998,1.7074865102767944,0.7074865102767944,0.15
14.708751361999997,1.681671142578125,0.681671142578125,0.15
14.808147144999998,1.681671142578125,0.681671142578125,0.15
14.908175363999998,1.681671142578125,0.681671142578125,0.15
15.008182544999999,1.6501868963241577,0.6501868963241577,0.15
15.108661055999999,1.6501868963241577,0.6501868963241577,0.15
15.208631644999999,1.6501868963241577,0.6501868963241577,0.15
15.308749826999998,1.6501868963241577,0.6501868963241577,0.15
15.408374777999997,1.6501868963241577,0.6501868963241577,0.15
15.508436035999997,1.621869683265686,0.621869683265686,0.15
15.608191922999998,1.621869683265686,0.621869683265686,0.15
15.708171573999998,1.621869683265686,0.621869683265686,0.15
15.808333037999997,1.621869683265686,0.621869683265686,0.15
15.908160085999997,1.5880694389343262,0.5880694389343262,0.15
16.008746185999996,1.5880694389343262,0.5880694389343262,0.15
16.108164249999998,1.5880694389343262,0.5880694389343262,0.15
16.208148747,1.5880694389343262,0.5880694389343262,0.15
16.308137971,1.5567890405654907,0.5567890405654907,0.15
16.408191236,1.5567890405654907,0.5567890405654907,0.15
16.508140357000002,1.5567890405654907,0.5567890405654907,0.15
16.608160827000003,1.5306038856506348,0.5306038856506348,0.15
16.708152969000004,1.5306038856506348,0.5306038856506348,0.15
16.808153025000003,1.5306038856506348,0.5306038856506348,0.15
16.908140705000005,1.4991644620895386,0.4991644620895386,0.15
17.008144411000004,1.4991644620895386,0.4991644620895386,0.15
17.109779238000005,1.4991644620895386,0.4991644620895386,0.15
17.208957772000005,1.463747501373291,0.463747501373291,0.15
17.308156708000006,1.463747501373291,0.463747501373291,0.15
17.408702766000005,1.463747501373291,0.463747501373291,0.15
17.508298083000003,1.463747501373291,0.463747501373291,0.15
17.608159506000003,1.4414260387420654,0.44142603874206543,0.15
17.708165042000005,1.4414260387420654,0.44142603874206543,0.15
17.808314274000004,1.4414260387420654,0.44142603874206543,0.15
17.908148753000003,1.4131766557693481,0.41317665576934814,0.15
18.008206139000002,1.4131766557693481,0.41317665576934814,0.15
18.108982614000002,1.4131766557693481,0.41317665576934814,0.15
18.208732384,1.4131766557693481,0.41317665576934814,0.15
18.308320921,1.378947138786316,0.3789471387863159,0.15
18.408339333,1.378947138786316,0.3789471387863159,0.15
18.508190664,1.378947138786316,0.3789471387863159,0.15
18.608174443,1.353188157081604,0.353188157081604,0.15
18.708160918,1.353188157081604,0.353188157081604,0.15
18.808239851,1.353188157081604,0.353188157081604,0.15
18.90815251,1.353188157081604,0.353188157081604,0.15
19.008152144,1.3186334371566772,0.31863343715667725,0.15
19.108155152000002,1.3186334371566772,0.31863343715667725,0.15
19.20863994,1.3186334371566772,0.31863343715667725,0.15
19.310615826000003,1.3186334371566772,0.31863343715667725,0.15
19.408225262000002,1.2891099452972412,0.2891099452972412,0.15
19.508221489,1.2891099452972412,0.2891099452972412,0.15
19.608149933,1.2891099452972412,0.2891099452972412,0.15
19.708740239,1.2592540979385376,0.2592540979385376,0.15
19.80825954,1.2592540979385376,0.2592540979385376,0.15
19.910597992000003,1.2592540979385376,0.2592540979385376,0.15
20.008980843000003,1.2592540979385376,0.2592540979385376,0.15
20.109107348000002,1.2592540979385376,0.2592540979385376,0.15
20.20818549,1.2250906229019165,0.2250906229019165,0.15
20.309118758,1.2250906229019165,0.2250906229019165,0.15
20.408367812,1.2250906229019165,0.2250906229019165,0.15
20.508839329,1.2250906229019165,0.2250906229019165,0.15
20.608186149,1.2250906229019165,0.2250906229019165,0.15
20.708435485000003,1.1935304403305054,0.19353044033050537,0.15
20.808161580000004,1.1935304403305054,0.19353044033050537,0.15
20.908168308000004,1.1935304403305054,0.19353044033050537,0.15
21.008157275000006,1.1935304403305054,0.19353044033050537,0.15
21.108871140000005,1.1660467386245728,0.16604673862457275,0.15
21.209049751000006,1.1660467386245728,0.16604673862457275,0.15
21.308355997000007,1.1660467386245728,0.16604673862457275,0.15
21.408240785000007,1.1660467386245728,0.16604673862457275,0.15
21.509819598000007,1.1377642154693604,0.13776421546936035,0.15
21.608166413000006,1.1377642154693604,0.13776421546936035,0.15
21.708267205000006,1.1377642154693604,0.13776421546936035,0.15
21.809762300000006,1.1043879985809326,0.10438799858093262,0.15
21.908154450000005,1.1043879985809326,0.10438799858093262,0.15
22.009627662000003,1.1043879985809326,0.10438799858093262,0.15
22.108164601000002,1.1043879985809326,0.10438799858093262,0.15
22.208137313,1.0829471349716187,0.08294713497161865,0.15
22.308224734000003,1.0829471349716187,0.08294713497161865,0.15
22.408267564000003,1.0829471349716187,0.08294713497161865,0.15
22.508168261,1.0829471349716187,0.08294713497161865,0.15
22.609761357,1.0442310571670532,0.04423105716705322,0.15
22.708163111,1.0442310571670532,0.04423105716705322,0.15
22.808352258,1.0442310571670532,0.04423105716705322,0.15
22.908802936,1.0158605575561523,0.015860557556152344,0.15
23.008147689,1.0158605575561523,0.015860557556152344,0.15
23.108137519,1.0158605575561523,0.015860557556152344,0.15
23.208171867,0.9834600687026978,-0.016539931297302246,0.15
23.308194889,0.9834600687026978,-0.016539931297302246,0.15
23.408145685,0.9834600687026978,-0.016539931297302246,0.15
23.508942072,0.9595046043395996,-0.04049539566040039,0.15
23.608168389,0.9595046043395996,-0.04049539566040039,0.15
23.708266797,0.9595046043395996,-0.04049539566040039,0.15
23.808921141,0.9210951328277588,-0.07890486717224121,0.15
23.908231897,0.9210951328277588,-0.07890486717224121,0.15
24.009274471,0.9210951328277588,-0.07890486717224121,0.15
24.108175473000003,0.9210951328277588,-0.07890486717224121,0.15
24.208838875,0.8935392498970032,-0.10646075010299683,0.15
24.308189443,0.8935392498970032,-0.10646075010299683,0.15
24.408381371,0.8935392498970032,-0.10646075010299683,0.15
24.510871553,0.8586147427558899,-0.1413852572441101,0.03931440804220765
24.608983789,0.8586147427558899,-0.1413852572441101,0.15
24.708187949,0.8586147427558899,-0.1413852572441101,0.15
24.808811243999997,0.8375541567802429,-0.16244584321975708,0.15
24.90876521,0.8375541567802429,-0.16244584321975708,0.15
25.008920177999997,0.8375541567802429,-0.16244584321975708,0.15
25.110789019,0.8375541567802429,-0.16244584321975708,0.15
25.208856337999997,0.8134008049964905,-0.18659919500350952,0.15
25.308729086999996,0.8134008049964905,-0.18659919500350952,0.15
25.409734961999995,0.8134008049964905,-0.18659919500350952,0.15
25.508768382999996,0.8134008049964905,-0.18659919500350952,0.15
25.608134120999996,0.7736631631851196,-0.22633683681488037,-0.15
25.708137517999994,0.7736631631851196,-0.22633683681488037,0.15
25.808746423999995,0.7736631631851196,-0.22633683681488037,0.15
25.908680782999994,0.7736631631851196,-0.22633683681488037,0.15
26.008729930999994,0.7493005990982056,-0.25069940090179443,-0.11979387604905156
26.108838913999993,0.7493005990982056,-0.25069940090179443,0.15
26.208132617999993,0.7493005990982056,-0.25069940090179443,0.15
26.310203825999995,0.7187073230743408,-0.2812926769256592,-0.15
26.408211653999995,0.7187073230743408,-0.2812926769256592,0.15
26.508268023999996,0.7187073230743408,-0.2812926769256592,0.15
26.608703593999994,0.6976051330566406,-0.3023948669433594,-0.15
26.708494837999993,0.6976051330566406,-0.3023948669433594,0.15
26.809641263999993,0.6976051330566406,-0.3023948669433594,0.15
26.909729350999992,0.6745825409889221,-0.3254174590110779,-0.15
27.008143508999993,0.6745825409889221,-0.3254174590110779,0.15
27.10816412999999,0.6745825409889221,-0.3254174590110779,0.15
27.208363612999992,0.6498594284057617,-0.3501405715942383,-0.15
27.308147494999993,0.6498594284057617,-0.3501405715942383,0.15
27.408151474999993,0.6498594284057617,-0.3501405715942383,0.15
27.509802834999995,0.6192535758018494,-0.38074642419815063,-0.15
27.608225864999994,0.6192535758018494,-0.38074642419815063,0.15
27.708159676999994,0.6192535758018494,-0.38074642419815063,0.15
27.808150641999994,0.589733898639679,-0.41026610136032104,-0.15
27.908818266999994,0.589733898639679,-0.41026610136032104,0.08380786235076565
